ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3360,3557.0,3409.0,3489,3115,3386,3507.0,3248.0,3368,3253,3443.0,3583,3488.0,3424.0,3212,3471.0,3431.0,3283,2937.0,2788.0,3563.0,3515.0,3521.0,3289.0
3360,3545.0,3411.0,3486,3117,3382,3507.0,3257.0,3361,3253,3446.0,3575,3493.0,3414.0,3204,3467.0,3428.0,3274,2938.0,2791.0,3561.0,3515.0,3521.0,3289.0
3362,3558.0,3401.081222157952,3483,3120,3395,3512.0,3252.0,3373,3251,3444.0,3584,3496.0,3414.0,3204,3467.0,3428.0,3274,2938.0,2791.0,3561.0,3516.0,3525.0,3291.0
3358,3562.0,3414.0,3490,3120,3395,3512.0,3252.0,3373,3251,3444.0,3584,3496.0,3416.0,3214,3470.0,3427.0,3281,2945.0,2789.0,3559.0,3510.0,3521.0,3291.0
3358,3562.0,3414.0,3490,3120,3388,3496.2021625143593,3252.0,3371,3248,3443.0,3586,3496.0,3408.0,3213,3464.0,3421.0,3286,2944.0,2795.0,3555.0,3508.0,3523.0,3281.0
3360,3549.0,3414.0,3490,3115,3387,3514.0,3246.0,3372,3251,3441.0,3588,3494.0,3415.0,3211,3464.0,3422.0,3286,2944.0,2795.0,3555.0,3508.0,3523.0,3281.0
3360,3555.0,3414.0,3490,3115,3385,3509.0,3252.0,3370,3251,3441.0,3588,3494.0,3415.0,3211,3464.0,3422.0,3290,2942.0,2790.0,3557.0,3510.0,3518.0,3291.0
3360,3555.0,3414.0,3490,3115,3385,3509.0,3252.0,3370,3252,3444.0,3582,3492.0,3413.0,3212,3464.0,3430.0,3281,2941.0,2794.0,3559.0,3502.0,3516.0,3288.0
3360,3555.0,3412.0,3482,3120,3384,3507.0,3255.0,3369,3244,3441.0,3586,3490.0,3416.0,3211,3463.0,3421.0,3284,2942.0,2792.0,3557.0,3502.0,3516.0,3288.0
3361,3555.0,3413.0,3484,3121,3386,3510.0,3250.0,3371,3250,3441.0,3583,3497.0,3416.0,3211,3463.0,3421.0,3284,2942.0,2792.0,3557.0,3508.0,3514.0,3291.0
3364,3558.0,3412.0,3489,3120,3386,3510.0,3250.0,3371,3250,3441.0,3583,3497.0,3418.0,3217,3466.0,3421.0,3276,2945.0,2794.0,3560.0,3512.0,3526.0,3290.0
3364,3558.0,3412.0,3489,3120,3392,3513.0,3254.0,3370,3251,3445.0,3584,3493.0,3413.0,3217,3454.0,3432.0,3283,2942.0,2792.0,3565.0,3493.0,3514.0,3290.0
3360,3547.0,3413.0,3486,3112,3389,3512.0,3258.0,3371,3251,3443.0,3590,3493.0,3403.0,3216,3463.0,3427.0,3283,2942.0,2792.0,3565.0,3493.0,3514.0,3290.0
3359,3553.0,3415.0,3489,3121,3388,3509.0,3250.0,3374,3251,3443.0,3590,3493.0,3403.0,3216,3463.0,3427.0,3283,2940.0,2792.0,3562.0,3509.0,3518.0,3295.0
3363,3553.0,3415.0,3489,3121,3388,3509.0,3250.0,3374,3251,3442.0,3583,3493.0,3412.0,3200,3445.979242747646,3427.0,3285,2944.0,2794.0,3557.0,3515.0,3523.0,3294.0
3363,3551.0,3412.0,3491,3121,3385,3511.0,3259.0,3374,3252,3442.0,3582,3493.0,3405.0,3217,3459.0,3429.0,3284,2938.0,2788.0,3557.0,3515.0,3523.0,3294.0
3356,3556.0,3412.0,3492,3120,3390,3509.0,3249.0,3370,3250,3439.0,3581,3494.0,3405.0,3217,3459.0,3429.0,3284,2938.0,2788.0,3557.0,3512.0,3522.0,3298.0
3358,3552.0,3414.0,3491,3120,3390,3509.0,3249.0,3370,3250,3439.0,3581,3494.0,3413.0,3219,3463.0,3432.0,3275,2941.0,2792.0,3554.0,3511.0,3526.0,3302.0
3358,3552.0,3414.0,3491,3120,3387,3511.0,3248.0,3374,3252,3436.0,3581,3497.0,3414.0,3216,3468.0,3428.0,3282,2942.0,2790.0,3557.0,3511.0,3522.0,3293.0
3358,3550.0,3414.0,3488,3119,3389,3498.0,3255.0,3372,3251,3438.0,3582,3488.0,3417.0,3221,3469.0,3422.0,3282,2942.0,2790.0,3557.0,3511.0,3522.0,3293.0
